gene	transcript	canonical	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
NPC1	ENST00000269228	TRUE	637	7.19E+02	8.85E-01	4.35E-05	8401	166	2.38E+02	6.97E-01	2755	314	2.91E+02	1.08E+00	2.01E-05	2503	21	3.32E-06	715	6.22E+01	6.54E-06	1.42E-08	1.00E+00	3.37E-01	9.84E-01	1.19E+00	8.29E-01	9.45E-01	2.38E-01	4.86E-01		-1.07E+00	1.09E+00	4.84E+00	17503	2	1	56	3.70E-04	4.77E-05	125655	93	0	125748	3.70E-04	1.72E-02	3.08E-04	2.02E-04	7.94E-04	2.73E-04	5.59E-04	4.05E-04	1.63E-04	2.94E-04	3.08E-04	2.02E-04	7.94E-04	2.72E-04	5.54E-04	4.04E-04	1.63E-04	2.94E-04	protein_coding	ENSG00000141458	2	3834	25	protein_coding	80715	2.13E-04	15	4.48E+01	3.35E-01	NA	18	21086148	21166862
RPL30	ENST00000521291	TRUE	17	6.07E+01	2.80E-01	2.69E-06	751	1	4.64E+00	2.16E-01	75	24	2.36E+01	1.01E+00	1.13E-06	209	0	2.58E-07	81	6.16E+00	8.47E-01	2.42E-03	1.51E-01	0.00E+00	7.34E-01	1.43E+00	1.91E-01	4.20E-01	0.00E+00	4.86E-01		-5.71E-02	1.99E+00	2.30E+00	17505	2	1	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000156482	2	345	4	protein_coding	21619	7.75E-01	0	4.67E+00	0.00E+00	NA	8	99037079	99058697
TARBP2	ENST00000266987	TRUE	146	2.20E+02	6.64E-01	1.32E-05	2334	31	9.44E+01	3.29E-01	1014	91	9.01E+01	1.01E+00	5.23E-06	788	4	1.10E-06	192	1.88E+01	4.66E-01	2.07E-04	5.33E-01	2.12E-01	8.51E-01	1.20E+00	5.80E-01	7.62E-01	1.04E-01	4.86E-01		-7.12E-02	1.77E+00	3.17E+00	17507	2	1	6	3.79E-05	1.19E-05	125737	9	0	125746	3.58E-05	1.61E-04	1.24E-04	2.89E-05	0.00E+00	5.53E-05	4.62E-05	4.06E-05	0.00E+00	0.00E+00	1.23E-04	2.89E-05	0.00E+00	5.44E-05	4.62E-05	3.52E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000139546	2	1098	9	protein_coding	5511	4.47E-01	3	1.39E+01	2.15E-01	NA	12	53894705	53900215
SMC5	ENST00000361138	TRUE	487	5.59E+02	8.71E-01	2.90E-05	7267	129	2.09E+02	6.16E-01	2720	186	1.90E+02	9.77E-01	9.53E-06	1921	22	3.61E-06	823	6.47E+01	3.13E-06	8.27E-09	1.00E+00	3.40E-01	8.66E-01	1.10E+00	8.08E-01	9.39E-01	2.42E-01	4.86E-01		2.47E-01	1.08E+00	4.92E+00	17510	2	1	43	2.25E-04	1.66E-05	125694	54	0	125748	2.15E-04	5.80E-03	2.46E-04	1.48E-04	1.14E-04	3.99E-04	3.25E-04	2.18E-04	3.60E-04	1.43E-04	2.46E-04	1.45E-04	9.92E-05	3.81E-04	3.23E-04	2.11E-04	3.26E-04	1.31E-04	protein_coding	ENSG00000198887	2	3303	25	protein_coding	95868	9.80E-01	8	4.70E+01	1.70E-01	NA	9	72873937	72969804
COPS8	ENST00000354371	TRUE	87	1.15E+02	7.59E-01	5.70E-06	1346	15	2.81E+01	5.34E-01	350	42	4.24E+01	9.91E-01	2.46E-06	404	2	5.50E-07	155	1.30E+01	7.25E-01	5.33E-04	2.75E-01	1.54E-01	7.74E-01	1.28E+00	6.37E-01	9.07E-01	6.20E-02	4.86E-01		4.37E-02	9.19E-01	2.82E+00	17514	2	1	2	1.20E-05	8.05E-06	125734	3	0	125737	1.19E-05	1.79E-05	0.00E+00	0.00E+00	0.00E+00	5.55E-05	4.62E-05	8.85E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.44E-05	4.62E-05	8.79E-06	0.00E+00	0.00E+00	protein_coding	ENSG00000198612	2	627	8	protein_coding	15155	1.39E-01	3	9.68E+00	3.10E-01	NA	2	237993955	238009109
ABCA1	ENST00000374736	TRUE	1029	1.20E+03	8.57E-01	6.84E-05	14892	262	4.03E+02	6.51E-01	4935	507	4.69E+02	1.08E+00	2.75E-05	4399	44	6.32E-06	1357	1.17E+02	1.45E-13	1.52E-13	1.00E+00	3.78E-01	1.01E+00	1.16E+00	8.14E-01	9.03E-01	2.96E-01	4.86E-01		-1.39E+00	1.75E+00	6.23E+00	17517	2	1	73	4.06E-04	4.78E-05	125646	102	0	125748	4.06E-04	2.07E-02	3.08E-04	2.89E-04	9.92E-04	2.72E-04	1.85E-04	5.02E-04	0.00E+00	3.59E-04	3.08E-04	2.89E-04	9.93E-04	2.72E-04	1.85E-04	5.01E-04	0.00E+00	3.59E-04	protein_coding	ENSG00000165029	2	6783	49	protein_coding	147236	1.66E-03	23	8.56E+01	2.69E-01	NA	9	107543283	107690518
RBMS1	ENST00000348849	TRUE	156	2.26E+02	6.89E-01	1.14E-05	2659	29	7.41E+01	3.91E-01	866	100	7.86E+01	1.27E+00	4.27E-06	758	7	1.34E-06	299	2.71E+01	1.19E-01	4.12E-05	8.81E-01	2.59E-01	1.08E+00	1.50E+00	6.04E-01	7.87E-01	1.46E-01	4.86E-01		-1.90E+00	1.66E+00	3.57E+00	17520	2	1	6	3.96E-05	1.96E-05	125742	6	0	125748	2.39E-05	7.16E-05	0.00E+00	2.90E-05	0.00E+00	0.00E+00	4.62E-05	5.50E-05	0.00E+00	3.27E-05	0.00E+00	2.89E-05	0.00E+00	0.00E+00	4.62E-05	2.64E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000153250	2	1218	13	protein_coding	221644	9.97E-01	1	2.11E+01	4.74E-02	NA	2	161128662	161350305
TLR8	ENST00000218032	TRUE	218	3.89E+02	5.60E-01	3.00E-05	6923	31	1.21E+02	2.56E-01	2399	154	1.54E+02	1.00E+00	1.18E-05	2003	5	1.71E-06	410	2.16E+01	3.24E-01	1.26E-04	6.76E-01	2.31E-01	8.78E-01	1.15E+00	5.01E-01	6.27E-01	1.20E-01	4.86E-01		-1.89E-02	3.08E+00	3.31E+00	17521	2	1	11	7.16E-05	1.10E-05	125679	8	5	125692	5.17E-05	3.36E-04	7.60E-05	0.00E+00	2.73E-04	0.00E+00	1.88E-04	7.40E-05	0.00E+00	5.31E-05	6.15E-05	0.00E+00	1.98E-04	0.00E+00	1.39E-04	5.28E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000101916	2	3123	2	protein_coding	16550	9.31E-01	1	1.26E+01	7.91E-02	NA	X	12924739	12941288
WBSCR17	ENST00000333538	TRUE	243	3.76E+02	6.46E-01	2.33E-05	3886	68	1.39E+02	4.89E-01	1391	139	1.56E+02	8.93E-01	1.01E-05	1177	7	1.15E-06	336	2.70E+01	1.17E-01	4.28E-05	8.83E-01	2.59E-01	7.77E-01	1.03E+00	5.81E-01	7.18E-01	1.46E-01	4.87E-01		1.05E+00	2.44E+00	3.57E+00	17532	2	1	10	4.18E-05	5.09E-06	125736	10	0	125746	3.98E-05	1.99E-04	6.36E-05	0.00E+00	0.00E+00	5.50E-05	0.00E+00	3.82E-05	1.63E-04	9.84E-05	6.15E-05	0.00E+00	0.00E+00	5.44E-05	0.00E+00	3.52E-05	1.63E-04	9.80E-05	protein_coding	ENSG00000185274	2	1794	11	protein_coding	581431	9.56E-02	5	1.73E+01	2.89E-01	NA	7	70597155	71178585
TBC1D9	ENST00000442267	TRUE	483	7.22E+02	6.69E-01	4.16E-05	8332	217	3.74E+02	5.80E-01	4411	268	2.89E+02	9.27E-01	1.75E-05	2404	19	2.91E-06	687	5.73E+01	2.80E-05	4.29E-08	1.00E+00	3.32E-01	8.38E-01	1.03E+00	6.20E-01	7.21E-01	2.30E-01	4.87E-01		9.78E-01	3.16E+00	4.69E+00	17534	2	1	21	1.18E-04	2.41E-05	124662	29	0	124691	1.16E-04	1.69E-03	0.00E+00	2.91E-05	9.95E-05	5.56E-05	9.29E-05	1.98E-04	0.00E+00	6.57E-05	0.00E+00	2.90E-05	9.94E-05	5.56E-05	9.28E-05	1.95E-04	0.00E+00	6.54E-05	protein_coding	ENSG00000109436	2	3798	21	protein_coding	135356	8.77E-01	7	3.74E+01	1.87E-01	NA	4	141541919	141677274
TNF	ENST00000449264	TRUE	84	1.37E+02	6.11E-01	7.99E-06	1493	9	3.46E+01	2.60E-01	447	54	6.25E+01	8.64E-01	3.78E-06	501	1	5.67E-07	98	9.74E+00	8.03E-01	9.95E-04	1.96E-01	1.03E-01	6.93E-01	1.08E+00	5.11E-01	7.33E-01	3.60E-02	4.87E-01		8.45E-01	1.62E+00	2.59E+00	17536	2	1	2	8.27E-06	4.22E-06	123531	2	0	123533	8.10E-06	8.10E-06	0.00E+00	2.96E-05	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.90E-05	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000232810	2	699	4	protein_coding	2770	2.73E-01	2	7.56E+00	2.65E-01	NA	6	31543344	31546113
RNF121	ENST00000361756	TRUE	137	1.91E+02	7.17E-01	1.02E-05	2151	53	7.76E+01	6.83E-01	924	62	6.89E+01	9.00E-01	3.94E-06	609	5	1.25E-06	217	2.16E+01	3.19E-01	1.31E-04	6.81E-01	2.32E-01	7.33E-01	1.11E+00	6.23E-01	8.26E-01	1.20E-01	4.87E-01		6.53E-01	1.39E+00	3.31E+00	17540	2	1	5	3.56E-05	1.55E-05	125739	7	0	125746	2.78E-05	9.74E-05	1.14E-04	0.00E+00	0.00E+00	6.70E-05	5.18E-05	1.24E-05	0.00E+00	1.12E-04	6.15E-05	0.00E+00	0.00E+00	5.44E-05	4.62E-05	8.79E-06	0.00E+00	9.80E-05	protein_coding	ENSG00000137522	2	981	9	protein_coding	68897	9.73E-01	1	1.53E+01	6.55E-02	NA	11	71639747	71708643
AFAP1L2	ENST00000304129	TRUE	429	4.69E+02	9.15E-01	2.73E-05	5321	123	1.41E+02	8.72E-01	1670	201	2.01E+02	1.00E+00	1.28E-05	1589	13	1.99E-06	516	4.25E+01	2.16E-03	1.22E-06	9.98E-01	3.06E-01	8.92E-01	1.13E+00	8.45E-01	9.91E-01	1.98E-01	4.87E-01		-2.13E-02	6.54E-01	4.19E+00	17551	2	1	25	2.20E-04	8.82E-05	125697	50	1	125748	2.03E-04	5.17E-03	3.08E-04	1.16E-04	0.00E+00	1.09E-04	2.37E-04	2.29E-04	3.27E-04	3.93E-04	3.08E-04	1.16E-04	0.00E+00	1.09E-04	2.31E-04	1.93E-04	3.26E-04	3.59E-04	protein_coding	ENSG00000169129	2	2454	19	protein_coding	109933	4.47E-01	6	2.72E+01	2.21E-01	NA	10	116054583	116164515
UCK2	ENST00000367879	TRUE	56	1.54E+02	3.63E-01	9.22E-06	1712	14	7.15E+01	1.96E-01	786	65	6.26E+01	1.04E+00	3.92E-06	490	2	6.48E-07	150	1.29E+01	7.21E-01	5.53E-04	2.78E-01	1.55E-01	8.50E-01	1.28E+00	2.92E-01	4.53E-01	6.20E-02	4.87E-01		-2.43E-01	2.81E+00	2.81E+00	17556	2	1	3	1.19E-05	3.98E-06	125745	3	0	125748	1.19E-05	1.79E-05	0.00E+00	2.89E-05	1.98E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.89E-05	1.98E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000143179	2	783	7	protein_coding	84088	9.62E-01	0	9.92E+00	0.00E+00	NA	1	165796768	165880855
KLHL11	ENST00000319121	TRUE	215	3.92E+02	5.48E-01	2.07E-05	4625	37	9.00E+01	4.11E-01	1063	148	1.49E+02	9.95E-01	8.02E-06	1393	6	1.33E-06	298	2.43E+01	2.01E-01	7.56E-05	7.99E-01	2.47E-01	8.69E-01	1.14E+00	4.89E-01	6.14E-01	1.34E-01	4.87E-01		5.12E-02	3.18E+00	3.44E+00	17562	2	1	10	4.45E-05	7.96E-06	125737	11	0	125748	4.37E-05	2.41E-04	0.00E+00	5.78E-05	0.00E+00	0.00E+00	9.34E-05	5.32E-05	0.00E+00	3.42E-05	0.00E+00	5.78E-05	0.00E+00	0.00E+00	9.24E-05	5.27E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000178502	2	2124	2	protein_coding	11888	5.35E-02	5	1.56E+01	3.20E-01	NA	17	40009797	40021684
GALNT2	ENST00000366672	TRUE	243	3.48E+02	6.98E-01	2.16E-05	3746	72	1.47E+02	4.89E-01	1504	139	1.35E+02	1.03E+00	8.79E-06	1069	11	2.18E-06	385	3.73E+01	8.42E-03	4.15E-06	9.92E-01	2.95E-01	8.93E-01	1.18E+00	6.28E-01	7.76E-01	1.85E-01	4.88E-01		-2.43E-01	2.00E+00	3.99E+00	17572	2	1	21	8.78E-05	7.97E-06	125728	18	0	125746	7.16E-05	6.44E-04	6.16E-05	1.74E-04	9.93E-05	1.09E-04	9.29E-05	7.07E-05	0.00E+00	6.54E-05	6.15E-05	5.78E-05	9.92E-05	1.09E-04	9.24E-05	7.03E-05	0.00E+00	6.53E-05	protein_coding	ENSG00000143641	2	1713	16	protein_coding	224335	8.82E-01	5	2.87E+01	1.74E-01	NA	1	230193536	230417870
ENC1	ENST00000302351	TRUE	173	3.29E+02	5.26E-01	1.90E-05	3868	61	1.29E+02	4.72E-01	1483	153	1.38E+02	1.11E+00	8.57E-06	1190	4	1.07E-06	216	1.88E+01	4.60E-01	2.17E-04	5.40E-01	2.13E-01	9.73E-01	1.27E+00	4.64E-01	5.97E-01	1.04E-01	4.88E-01		-1.02E+00	3.05E+00	3.16E+00	17573	2	1	10	3.98E-05	3.98E-06	125738	10	0	125748	3.98E-05	1.99E-04	1.23E-04	5.78E-05	0.00E+00	5.44E-05	0.00E+00	4.40E-05	0.00E+00	0.00E+00	1.23E-04	5.78E-05	0.00E+00	5.44E-05	0.00E+00	4.39E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000171617	2	1767	1	protein_coding	14016	8.80E-01	1	1.10E+01	9.08E-02	NA	5	73923234	73937249
SH3PXD2B	ENST00000311601	TRUE	511	5.46E+02	9.37E-01	3.47E-05	5925	159	2.04E+02	7.78E-01	2252	213	2.29E+02	9.30E-01	1.63E-05	1817	12	1.98E-06	465	3.98E+01	4.16E-03	2.33E-06	9.96E-01	3.01E-01	8.31E-01	1.04E+00	8.70E-01	1.01E+00	1.92E-01	4.88E-01		8.30E-01	5.26E-01	4.08E+00	17574	2	1	25	7.17E-04	5.85E-04	125568	180	0	125748	7.16E-04	6.45E-02	6.56E-05	6.36E-04	5.66E-03	1.64E-04	1.85E-04	5.55E-04	2.12E-03	5.55E-04	6.15E-05	6.36E-04	5.67E-03	1.63E-04	1.85E-04	5.54E-04	2.12E-03	5.55E-04	protein_coding	ENSG00000174705	2	2733	13	protein_coding	129343	1.85E-02	8	2.59E+01	3.08E-01	NA	5	171752185	171881527
COPS7B	ENST00000350033	TRUE	108	1.45E+02	7.46E-01	7.94E-06	1704	23	5.10E+01	4.51E-01	619	57	5.97E+01	9.55E-01	3.33E-06	523	3	9.29E-07	168	1.59E+01	6.01E-01	3.50E-04	3.99E-01	1.89E-01	7.71E-01	1.19E+00	6.37E-01	8.75E-01	8.50E-02	4.88E-01		2.74E-01	1.09E+00	2.99E+00	17576	2	1	4	1.59E-05	4.00E-06	125735	4	0	125739	1.59E-05	3.18E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.52E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.52E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000144524	2	792	6	protein_coding	27583	2.08E-01	3	1.09E+01	2.74E-01	NA	2	232646381	232673963
NETO2	ENST00000562435	TRUE	239	2.86E+02	8.36E-01	1.56E-05	3479	57	8.91E+01	6.39E-01	1152	92	9.90E+01	9.30E-01	5.55E-06	981	8	1.93E-06	311	2.96E+01	6.27E-02	2.44E-05	9.37E-01	2.70E-01	7.84E-01	1.11E+00	7.51E-01	9.30E-01	1.58E-01	4.88E-01		5.51E-01	9.88E-01	3.68E+00	17578	2	1	15	7.97E-05	1.20E-05	125728	20	0	125748	7.95E-05	7.95E-04	6.15E-05	8.67E-05	9.94E-05	5.44E-05	2.78E-04	6.18E-05	0.00E+00	3.27E-05	6.15E-05	8.67E-05	9.92E-05	5.44E-05	2.77E-04	6.15E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000171208	2	1575	9	protein_coding	66295	1.58E-01	6	2.33E+01	2.58E-01	NA	16	47111614	47177908
HAPLN1	ENST00000274341	TRUE	182	1.98E+02	9.17E-01	1.12E-05	2294	63	8.53E+01	7.39E-01	857	90	7.81E+01	1.15E+00	4.54E-06	692	3	9.02E-07	172	1.59E+01	6.02E-01	3.45E-04	3.97E-01	1.89E-01	9.71E-01	1.37E+00	8.12E-01	1.04E+00	8.50E-02	4.88E-01		-1.06E+00	4.14E-01	3.00E+00	17579	2	1	4	3.68E-05	2.23E-05	125728	8	0	125736	3.18E-05	1.27E-04	6.15E-05	1.49E-04	0.00E+00	5.49E-05	0.00E+00	0.00E+00	1.90E-04	8.02E-05	6.15E-05	1.16E-04	0.00E+00	5.44E-05	0.00E+00	0.00E+00	1.63E-04	3.27E-05	protein_coding	ENSG00000145681	2	1062	4	protein_coding	83809	2.61E-01	3	1.17E+01	2.56E-01	NA	5	82933624	83017432
STT3A	ENST00000392708	TRUE	205	4.12E+02	4.98E-01	2.29E-05	4610	45	1.74E+02	2.59E-01	2021	122	1.44E+02	8.49E-01	7.36E-06	1385	13	2.57E-06	440	4.23E+01	2.05E-03	1.32E-06	9.98E-01	3.07E-01	7.32E-01	9.87E-01	4.43E-01	5.59E-01	1.99E-01	4.88E-01		1.43E+00	3.62E+00	4.18E+00	17586	2	1	15	8.36E-05	1.19E-05	125725	21	0	125746	8.35E-05	8.77E-04	6.16E-05	1.16E-04	0.00E+00	2.18E-04	1.39E-04	6.16E-05	1.63E-04	3.27E-05	6.15E-05	1.16E-04	0.00E+00	2.17E-04	1.39E-04	6.15E-05	1.63E-04	3.27E-05	protein_coding	ENSG00000134910	2	2115	17	protein_coding	33504	9.79E-01	5	3.36E+01	1.49E-01	NA	11	125461607	125495110
ZNF624	ENST00000311331	TRUE	307	4.52E+02	6.79E-01	2.15E-05	5771	112	2.28E+02	4.92E-01	2924	139	1.56E+02	8.94E-01	7.53E-06	1528	9	1.64E-06	472	3.22E+01	3.25E-02	1.37E-05	9.68E-01	2.80E-01	7.78E-01	1.03E+00	6.17E-01	7.46E-01	1.68E-01	4.88E-01		1.04E+00	2.43E+00	3.78E+00	17589	2	1	22	4.83E-04	3.23E-04	125619	119	1	125739	4.77E-04	2.86E-02	1.86E-04	2.90E-04	6.76E-03	2.22E-04	4.64E-05	1.85E-04	6.54E-04	3.27E-04	1.85E-04	2.89E-04	6.67E-03	2.17E-04	4.62E-05	1.85E-04	6.52E-04	3.27E-04	protein_coding	ENSG00000197566	2	2595	5	protein_coding	33120	3.06E-04	9	1.94E+01	4.65E-01	NA	17	16524051	16557170
GPBP1L1	ENST00000355105	TRUE	273	2.67E+02	1.02E+00	1.42E-05	3127	90	8.03E+01	1.12E+00	1059	121	9.41E+01	1.29E+00	4.75E-06	914	6	1.36E-06	274	2.43E+01	1.99E-01	7.75E-05	8.01E-01	2.47E-01	1.11E+00	1.50E+00	9.26E-01	1.13E+00	1.34E-01	4.88E-01		-2.18E+00	-1.33E-01	3.44E+00	17591	2	1	11	1.01E-04	6.08E-05	125723	25	0	125748	9.94E-05	1.24E-03	0.00E+00	2.90E-05	0.00E+00	0.00E+00	0.00E+00	1.96E-04	1.63E-04	3.32E-05	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	1.93E-04	1.63E-04	3.27E-05	protein_coding	ENSG00000159592	3	1422	10	protein_coding	60810	4.35E-01	4	1.82E+01	2.20E-01	NA	1	46092976	46153785
FAM91A1	ENST00000334705	TRUE	312	4.40E+02	7.10E-01	2.21E-05	5471	56	1.36E+02	4.11E-01	1742	135	1.56E+02	8.64E-01	7.84E-06	1600	16	2.59E-06	616	4.98E+01	2.41E-04	2.36E-07	1.00E+00	3.21E-01	7.51E-01	9.97E-01	6.46E-01	7.79E-01	2.16E-01	4.88E-01		1.33E+00	2.16E+00	4.44E+00	17608	2	1	24	1.10E-04	8.26E-06	124766	27	0	124793	1.08E-04	1.46E-03	0.00E+00	1.77E-04	9.93E-05	1.68E-04	0.00E+00	1.17E-04	0.00E+00	1.32E-04	0.00E+00	1.74E-04	9.93E-05	1.67E-04	0.00E+00	1.15E-04	0.00E+00	1.31E-04	protein_coding	ENSG00000176853	2	2514	24	protein_coding	46997	5.16E-01	8	3.67E+01	2.18E-01	NA	8	124780696	124827692
CNN3	ENST00000370206	TRUE	95	1.80E+02	5.29E-01	8.96E-06	2182	19	5.22E+01	3.64E-01	691	45	6.47E+01	6.96E-01	3.59E-06	601	3	6.77E-07	199	1.58E+01	5.99E-01	3.57E-04	4.01E-01	1.89E-01	5.47E-01	8.92E-01	4.47E-01	6.28E-01	8.50E-02	4.89E-01		1.93E+00	2.24E+00	2.99E+00	17615	2	1	7	2.81E-05	4.09E-06	125741	7	0	125748	2.78E-05	9.74E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.24E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.15E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000117519	2	987	7	protein_coding	30328	8.64E-01	1	1.06E+01	9.40E-02	NA	1	95362507	95392834
FAM20C	ENST00000313766	TRUE	263	3.14E+02	8.38E-01	2.02E-05	3724	65	1.01E+02	6.41E-01	1191	150	1.44E+02	1.04E+00	1.04E-05	1189	5	9.20E-07	265	2.15E+01	3.15E-01	1.36E-04	6.85E-01	2.32E-01	9.11E-01	1.19E+00	7.56E-01	9.28E-01	1.20E-01	4.89E-01		-3.86E-01	1.02E+00	3.30E+00	17617	2	1	10	8.15E-05	2.69E-05	124391	12	0	124403	4.82E-05	2.89E-04	0.00E+00	2.54E-04	0.00E+00	9.43E-05	0.00E+00	2.63E-05	3.20E-04	7.64E-05	0.00E+00	1.74E-04	0.00E+00	5.57E-05	0.00E+00	1.78E-05	1.65E-04	6.54E-05	protein_coding	ENSG00000177706	2	1752	10	protein_coding	107743	5.88E-01	0	2.50E+00	0.00E+00	NA	7	192969	300711
NCAPD3	ENST00000534548	TRUE	876	8.17E+02	1.07E+00	4.45E-05	9807	136	1.78E+02	7.64E-01	2239	396	3.20E+02	1.24E+00	1.86E-05	2863	30	4.38E-06	985	8.31E+01	5.82E-09	1.94E-10	1.00E+00	3.61E-01	1.14E+00	1.35E+00	1.01E+00	1.13E+00	2.69E-01	4.89E-01		-3.36E+00	-7.28E-01	5.40E+00	17619	2	1	55	4.05E-04	5.36E-05	125654	94	0	125748	3.74E-04	1.76E-02	3.60E-04	3.47E-04	9.92E-05	3.84E-04	5.11E-04	4.37E-04	8.16E-04	2.95E-04	2.46E-04	3.47E-04	9.92E-05	3.81E-04	5.08E-04	3.96E-04	8.15E-04	2.94E-04	protein_coding	ENSG00000151503	2	4494	35	protein_coding	75335	7.32E-02	15	6.06E+01	2.47E-01	NA	11	134020014	134095348
THAP1	ENST00000254250	TRUE	74	1.15E+02	6.41E-01	5.84E-06	1404	10	2.79E+01	3.58E-01	360	39	4.34E+01	9.00E-01	2.35E-06	398	1	5.60E-07	111	9.70E+00	8.01E-01	1.02E-03	1.98E-01	1.03E-01	6.95E-01	1.18E+00	5.30E-01	7.78E-01	3.60E-02	4.89E-01		5.20E-01	1.37E+00	2.59E+00	17623	2	1	7	2.79E-05	4.02E-06	125741	7	0	125748	2.78E-05	9.74E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.42E-05	0.00E+00	6.53E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.39E-05	0.00E+00	6.53E-05	protein_coding	ENSG00000131931	2	639	3	protein_coding	6652	8.99E-01	0	7.15E+00	0.00E+00	NA	8	42691817	42698468
PPP4C	ENST00000279387	TRUE	60	2.02E+02	2.97E-01	1.25E-05	2019	13	8.48E+01	1.53E-01	822	96	8.47E+01	1.13E+00	5.99E-06	588	4	9.70E-07	187	1.87E+01	4.55E-01	2.25E-04	5.44E-01	2.14E-01	9.60E-01	1.34E+00	2.41E-01	3.69E-01	1.04E-01	4.89E-01		-9.68E-01	3.55E+00	3.15E+00	17624	2	1	5	2.01E-05	4.11E-06	125743	5	0	125748	1.99E-05	4.97E-05	6.15E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.70E-05	0.00E+00	3.27E-05	6.15E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.64E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000149923	2	921	8	protein_coding	9400	7.60E-01	2	1.32E+01	1.52E-01	NA	16	30087299	30096698
PSMA4	ENST00000044462	TRUE	57	1.38E+02	4.14E-01	6.87E-06	1704	13	5.84E+01	2.23E-01	711	38	4.48E+01	8.49E-01	2.11E-06	462	3	7.31E-07	208	1.59E+01	6.00E-01	3.54E-04	4.00E-01	1.89E-01	6.54E-01	1.11E+00	3.33E-01	5.16E-01	8.50E-02	4.89E-01		7.95E-01	2.44E+00	2.99E+00	17626	2	1	5	2.43E-05	8.02E-06	125717	5	0	125722	1.99E-05	4.97E-05	6.16E-05	5.86E-05	0.00E+00	0.00E+00	0.00E+00	2.69E-05	0.00E+00	0.00E+00	6.15E-05	2.89E-05	0.00E+00	0.00E+00	0.00E+00	2.64E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000041357	2	783	8	protein_coding	8858	6.20E-01	2	1.14E+01	1.75E-01	NA	15	78832747	78841604
